"","stfips","region","year","ymcaid","white","income_pc","hospitals_pc","beds_pc","mort_rate","child_pop","afdc_rate"
"70",1,4,1963,1970,1,1.734,0.037103139,4.2544932,247.8652,706069,1.1999325
"71",1,4,1966,1970,1,2.132,0.037759114,4.5575547,222.81111,700055,1.1999325
"72",1,4,1967,1970,1,2.256,0.036691371,4.8166304,205.62709,698050.38,1.1999325
"73",5,4,1965,1970,0,1.859,0.043878846,5.0403795,430.42734,144082.34,11.868187
"74",5,4,1978,1970,0,6.469,0.043285098,5.5168419,237.77991,122852,11.868187
"75",5,4,1976,1970,0,5.157,0.042422589,5.4245577,234.90891,123283,11.868187
"76",5,4,1973,1970,0,3.978,0.045180678,5.2642779,321.27292,126403,11.868187
"77",5,4,1964,1970,0,1.757,0.042528875,5.1525369,443.16779,146970.66,11.868187
"78",5,4,1975,1970,0,4.668,0.042626992,5.3195705,284.68753,124993,11.868187
"79",5,4,1963,1970,0,1.637,0.043905284,5.0353875,451.48062,149859,11.868187
"80",5,4,1977,1970,0,5.657,0.042814523,5.4655342,257.80234,122743,11.868187
"81",5,4,1968,1970,0,2.37,0.046763144,5.2337523,376.53271,135417.33,11.868187
"82",5,4,1969,1970,0,2.616,0.049108446,5.1901817,330.82837,132529,11.868187
"83",5,4,1970,1970,0,2.84,0.048633702,5.1598291,363.45596,130623,11.868187
"84",5,4,1967,1970,0,2.185,0.047061838,5.2222595,377.55954,138305.67,11.868187
"85",5,4,1971,1970,0,3.088,0.047668792,5.0620203,309.14963,128738,11.868187
"86",5,4,1966,1970,0,2.063,0.044135001,5.1594892,415.47769,141194,11.868187
"87",5,4,1974,1970,0,4.368,0.043804746,5.2646642,288.72321,124868,11.868187
"88",5,4,1972,1970,0,3.409,0.045589987,5.1571193,259.14734,127308,11.868187
"89",5,4,1963,1970,1,1.637,0.043905284,5.0353875,261.04547,409626.66,1.0138228
"90",5,4,1965,1970,1,1.859,0.043878846,5.0403795,221.94321,408621.09,1.0138228
"91",5,4,1964,1970,1,1.757,0.042528875,5.1525369,256.38947,409123.91,1.0138228
"92",5,4,1972,1970,1,3.409,0.045589987,5.1571193,179.95749,421789,1.0138228
"93",5,4,1975,1970,1,4.668,0.042626992,5.3195705,157.0737,432738,1.0138228
"94",5,4,1967,1970,1,2.185,0.047061838,5.2222595,201.31313,407615.56,1.0138228
"95",5,4,1976,1970,1,5.157,0.042422589,5.4245577,148.7657,423315,1.0138228
"96",5,4,1974,1970,1,4.368,0.043804746,5.2646642,165.39473,425847,1.0138228
"97",5,4,1977,1970,1,5.657,0.042814523,5.4655342,129.76782,422621,1.0138228
"98",5,4,1966,1970,1,2.063,0.044135001,5.1594892,215.67204,408118.34,1.0138228
"99",5,4,1969,1970,1,2.616,0.049108446,5.1901817,199.75273,406610,1.0138228
"100",5,4,1970,1970,1,2.84,0.048633702,5.1598291,195.08179,412070,1.0138228
"101",5,4,1968,1970,1,2.37,0.046763144,5.2337523,191.79646,407112.78,1.0138228
"102",5,4,1971,1970,1,3.088,0.047668792,5.0620203,189.24225,417530,1.0138228
"103",5,4,1973,1970,1,3.978,0.045180678,5.2642779,174.8167,423337,1.0138228
"104",6,5,1963,1966,0,3.1,0.031008018,4.6307454,311.4151,520988.34,11.87743
"105",6,5,1971,1966,0,5.027,0.02870382,4.4235339,211.90146,711879,11.87743
"106",6,5,1962,1966,0,3.002,0.029074544,4.5063138,318.20682,494703.22,11.87743
"107",6,5,1965,1966,0,3.41,0.03185676,4.5143595,289.23752,573558.56,11.87743
"108",6,5,1974,1966,0,6.557,0.027771633,4.4840322,172.31218,746780,11.87743
"109",6,5,1970,1966,0,4.801,0.028833961,4.4931092,237.5697,695289,11.87743
"110",6,5,1967,1966,0,3.87,0.030449897,4.5931072,246.39755,626128.75,11.87743
"111",6,5,1972,1966,0,5.451,0.028321706,4.4539404,204.31317,722272,11.87743
"112",6,5,1966,1966,0,3.653,0.031027541,4.6257119,271.98184,599843.69,11.87743
"113",6,5,1968,1966,0,4.196,0.029743593,4.6281857,229.89594,652413.88,11.87743
"114",6,5,1960,1966,0,2.822,0.025386194,4.0851412,310.67233,442133,11.87743
"115",6,5,1961,1966,0,2.878,0.026600948,4.369422,311.99792,468418.13,11.87743
"116",6,5,1969,1966,0,4.532,0.029778328,4.6094117,249.10757,678699,11.87743
"117",6,5,1964,1966,0,3.273,0.031814504,4.6388059,300.66879,547273.44,11.87743
"118",6,5,1959,1966,0,2.739,0.024927475,4.0240445,319.23605,415334.91,11.87743
"119",6,5,1973,1966,0,5.944,0.027937651,4.4312563,186.03777,734955,11.87743
"120",6,5,1961,1966,1,2.878,0.026600948,4.369422,231.59546,4383957,2.2977915
"121",6,5,1962,1966,1,3.002,0.029074544,4.5063138,223.08644,4446352.5,2.2977915
"122",6,5,1973,1966,1,5.944,0.027937651,4.4312563,143.86559,4595869,2.2977915
"123",6,5,1968,1966,1,4.196,0.029743593,4.6281857,181.81915,4820724,2.2977915
"124",6,5,1972,1966,1,5.451,0.028321706,4.4539404,149.62872,4688346,2.2977915
"125",6,5,1974,1966,1,6.557,0.027771633,4.4840322,145.41351,4503550,2.2977915
"126",6,5,1969,1966,1,4.532,0.029778328,4.6094117,179.1624,4883119,2.2977915
"127",6,5,1970,1966,1,4.801,0.028833961,4.4931092,173.32162,4833657,2.2977915
"128",6,5,1967,1966,1,3.87,0.030449897,4.5931072,184.42931,4758328.5,2.2977915
"129",6,5,1966,1966,1,3.653,0.031027541,4.6257119,194.35527,4695933.5,2.2977915
"130",6,5,1965,1966,1,3.41,0.03185676,4.5143595,209.46729,4633538,2.2977915
"131",6,5,1964,1966,1,3.273,0.031814504,4.6388059,219.91815,4571143,2.2977915
"132",6,5,1963,1966,1,3.1,0.031008018,4.6307454,222.98618,4508747.5,2.2977915
"133",6,5,1971,1966,1,5.027,0.02870382,4.4235339,152.64293,4784195,2.2977915
"134",6,5,1959,1966,1,2.739,0.024927475,4.0240445,230.07819,4131948,2.2977915
"135",8,5,1972,1969,0,4.774,0.036594775,4.8787484,179.9389,34223,15.386324
"136",8,5,1965,1969,0,2.787,0.039479114,5.2965279,331.11755,24793.557,15.386324
"137",8,5,1963,1969,0,2.528,0.04133511,5.3645554,357.2085,22485.334,15.386324
"138",8,5,1970,1969,0,4.04,0.037696224,5.0041733,284.32401,31041,15.386324
"139",8,5,1971,1969,0,4.399,0.037766844,5.0503383,194.19998,32685,15.386324
