"stfips","region","year","year_mcaid","white","income_pc","hospitals_pc","beds_pc","mort_rate","child_pop","afdc_rate"
1,4,1974,1970,1,4.336,0.038591117,5.4647775,177.28712,673707,1.1999325
5,4,1978,1970,1,6.469,0.043285098,5.5168419,145.39101,421157,1.0138228
6,5,1960,1966,1,2.822,0.025386194,4.0851412,225.77412,4321562,2.2977915
8,5,1964,1969,0,2.628,0.042456869,5.4727941,377.85626,23639.443,15.386324
8,5,1974,1969,1,5.837,0.035413217,4.6981535,156.84148,628434,2.3637426
9,1,1973,1966,0,6.226,0.018571869,4.7788353,248.21786,73519,14.223637
9,1,1969,1966,1,4.821,0.017249301,4.3594289,155.77473,792256,0.96046317
11,3,1962,1968,0,3.099,0.020965964,8.201623,411.10175,147213,3.7599699
12,4,1971,1970,0,4.282,0.025268845,4.7703671,353.1142,396912,17.579067
13,4,1969,1967,0,3.149,0.032570656,3.9838121,385.73059,429556,6.0136557
16,5,1962,1966,0,2.068,0.069740862,3.9559391,379.47769,4072.8889,7.0189452
16,5,1966,1966,1,2.549,0.069829516,3.9657347,213.73117,215649.02,1.4583025
17,2,1973,1966,0,5.892,0.023622636,5.5864868,340.67288,546935,11.074445
18,2,1967,1970,0,3.141,0.024151485,4.7140927,358.33884,125373.66,13.213378
18,2,1975,1970,1,5.837,0.022798816,5.0575995,137.26373,1281618,0.85852057
21,3,1974,1966,0,4.595,0.033945631,4.8302293,255.17609,75599,9.8014126
23,1,1968,1966,0,2.84,0.052075431,5.2616611,325.80923,2078.2222,6.0584035
25,1,1965,1966,0,3.081,0.031109707,6.2361155,397.41223,58376.555,12.881639
28,4,1965,1970,0,1.669,0.044431191,4.038887,586.77216,356685.66,15.836626
28,4,1970,1970,1,2.628,0.043573219,4.4772606,206.94313,379478,0.90217853
30,5,1964,1967,0,2.354,0.085423596,5.6099739,841.81274,11788,15.54944
33,1,1972,1967,1,4.411,0.042215142,4.4709673,166.3298,214715,0.73641253
34,1,1972,1970,0,5.513,0.016629023,4.3593941,295.80389,300629,22.620546
36,1,1962,1966,0,3.021,0.02510234,6.3843617,450.35251,534119.38,11.48264
36,1,1969,1966,1,4.573,0.02119215,5.6523042,179.39607,4152468,1.6163086
37,4,1970,1970,0,3.273,0.028195832,4.2328992,389.55295,415091,8.9794121
37,4,1965,1970,1,2.129,0.031598669,4.2534513,212.4884,1041033.9,0.87047565
