st_id,mta_name,swipes2011,swipes2012,swipes2013,swipes2014,swipes2015,swipes2016
143,"Sheepshead Bay B subway Q subway",4096449,4148629,4205275,4201776,4296566,4322837
144,"Shepherd Av  C subway",930613,945113,988620,1027404,1059106,1059144
145,"Smith-9 Sts  F subway G subway",577571,0,926087,1539209,1636221,1533167
146,"Sterling St  2 subway 5 subway ",1787824,1803628,1866122,1785975,1822524,1805238
147,"Sutter Av  L subway",1303422,1383957,1449524,1499122,1453567,1435112
148,"Sutter Av-Rutland Rd 3 subway",2370949,2288256,2419794,2467381,2420464,2035027
149,"Union St  R subway",2228520,2148505,2058555,2065047,2073096,2024863
150,"Utica Av  A subway C subway ",4437282,4530536,4726582,4878678,5060099,5152649
151,"Van Siclen Av  3 subway",1061359,1016466,1060055,1048755,304082,1250237
152,"Van Siclen Av  C subway",901530,897528,941172,967947,1019100,1017779
153,"Van Siclen Av  J subway Z subway ",886663,893665,913115,943663,966461,983370
154,"West 8 St-New York Aquarium F subway Q subway",814749,767921,702810,741345,789416,795636
155,"Wilson Av L subway",1093030,1115994,1243700,1393045,1407098,1219239
156,"Winthrop St  2 subway 5 subway",2173945,2171267,2275444,2263671,2241716,2146809
157,"York St  F subway",2251649,2344141,2666502,2760385,2900416,3286640
