client_zip,las_race_key,hispanic_flag,age,year,male,dismissal,loc2,st_id
11237,White,Y,43,2016,1,1,jefferson st l line station,100
,Black,N,38,2016,1,1,utica ave and fulton st,150
10456,Black,N,53,2016,1,0,rockaway ave c line,141
11201,Black,N,23,2016,0,1,gates av j subway z subway,87
11226,Black,N,23,2016,1,1,eastern pkwy-brooklyn museum 2 subway 3 subway,76
10468,Black,N,47,2016,0,0,nevins st 2 3 4 5 lines,123
11233,Black,N,29,2016,1,0,rockaway ave 3 line,140
,Black,N,22,2016,1,1,junius st 3 line,101
,Black,N,16,2016,1,1,utica ave and eastern parkway,70
,White,Y,20,2016,1,,sheepshead bay b q line,143
,White,Y,47,2016,1,0,new utrecht av n subway/62 st d subway,126
,Black,Y,18,2016,1,1,grand st and bushwick ave,90
11236,White,N,63,2016,1,0,canarsie rockaway pkwy,54
10303,Black,N,48,2016,1,0,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway,68
11231,White,N,34,2016,1,1,canarsie rockaway pkwy,54
11206,Black,N,49,2016,1,0,nostrand ave and fulton st a c station,131
11435,Black,N,44,2016,1,0,flatbush av-brooklyn college station,78
11208,White,Y,59,2016,0,,euclid av a subway a subway,77
11221,Black,N,25,2016,1,1,canarsie rockaway pkwy,54
10472,Black,N,33,2016,1,,utica ave and eastern parkway,70
11205,Black,N,17,2016,0,1,pennsylvania ave 3 line station,135
11207,Black,N,22,2016,1,0,junius st 3 line,101
10035,Black,N,37,2016,1,0,sutter av - rutland rd 3 line,148
10029,Black,N,51,2016,1,0,broadway and lorimer st j m station,112
11212,Black,N,22,2016,1,1,halsey st and wyckoff ave station,94
11214,Unknown,N,31,2016,0,,79 st d line subway,20
10456,Black,N,41,2016,0,0,franklin ave c subway s subway,85
11226,Black,N,25,2016,1,1,86 street r subway,23
,Black,N,27,2016,1,1,saratoga ave 3 line,142
10465,Unknown,N,37,2016,1,0,marcy ave j m z line,114
11232,White,N,22,2016,1,1,jefferson st l line station,100
11223,Black,N,26,2016,1,0,9 ave and new utrecht ave,24
11218,Black,N,21,2016,1,0,parkside av station,134
11226,Black,N,32,2016,1,0,prospect park subway station b q s lines,138
