client_zip,las_race_key,hispanic_flag,age,year,male,dismissal,loc2,st_id
,,,,2016,,,myrtle - willoughby avs g line,118
,,,,2016,,,myrtle - wyckoff avs station,119
,,,,2016,,,50th st d line subway,12
,,,,2016,,,nassau ave g line,120
,,,,2016,,,neck rd q subway,121
,,,,2016,,,neptune av f subway,122
,,,,2016,,,nevins st 2 3 4 5 lines,123
,,,,2016,,,747 new lots ave,124
,,,,2016,,,new lots ave l line,125
,,,,2016,,,new utrecht av n subway/62 st d subway,126
,,,,2016,,,newkirk ave 2 5 station,127
,,,,2016,,,newkirk plaza b q line,128
,,,,2016,,,norwood ave j z line,129
,,,,2016,,,53 st r subway,13
,,,,2016,,,nostrand ave 3 line,130
,,,,2016,,,nostrand ave and fulton st a c station,131
,,,,2016,,,ocean pkwy q station,132
,,,,2016,,,park pl s subway,133
,,,,2016,,,parkside av station,134
,,,,2016,,,pennsylvania ave 3 line station,135
,,,,2016,,,president st 2 5 line,136
