x,y,st_id,mta_name,pop_black_2016,pov_black_2016,pop_all_2016,pov_all_2016,povrt_all_2016,shareblack,nblack
-73.981743,40.578098,66,Coney Island-Stillwell Av D subway F subway N subway Q subway,36,2,5186,1329,.25626686,.0069417665,0
-73.963936,40.641266,67,Cortelyou Rd  Q subway,9698,1479,23283,4511,.19374651,.41652709,0
-73.990158,40.692387,68,Court St  R subway/Borough Hall 2 subway 3 subway 4 subway 5 subway,615,191,10647,789,.074105382,.057762749,0
-73.872627,40.683453,69,Crescent St  J subway Z subway,5364,1612,18244,5394,.29565886,.29401448,0
-73.931129,40.668758,70,Crown Heights-Utica Av 3 subway 4 subway,13135,3796,17561,5565,.3168954,.74796426,1
-73.872551,40.689941,71,Cypress Hills  J subway,2211,714,8968,2352,.26226583,.24654326,0
-73.981178,40.689812,72,DeKalb Av  B subway Q subway R subway ,1781,181,9607,923,.096075781,.18538566,0
-73.918427,40.703812,73,DeKalb Av  L subway,3986,924,29900,8438,.28220737,.13331103,0
-73.978256,40.635452,74,Ditmas Av  F subway ,556,114,17164,6336,.36914471,.032393381,0
-73.899483,40.650574,75,East 105 St  L subway,7796,2039,9154,2637,.2880708,.85164952,1
-73.964317,40.671799,76,Eastern Pkwy-Brooklyn Museum 2 subway 3 subway,5102,867,13382,1905,.1423554,.3812584,0
-73.872108,40.675377,77,Euclid Av  A subway C subway,5235,1096,10022,3257,.32498503,.52235085,1
-73.947639,40.632835,78,Flatbush Av-Brooklyn College 2 subway 5 subway ,9760,1460,14176,2363,.16669019,.68848759,1
-73.95018,40.699608,79,Flushing Av  G subway,3592,1135,23933,11612,.48518783,.15008566,0
-73.941933,40.700722,80,Flushing Av  J subway M subway,7459,3701,22631,8956,.39574036,.32959214,0
-73.994301,40.640915,81,Fort Hamilton Pkwy D subway,540,100,23890,9152,.38308915,.022603599,0
-73.975769,40.649769,82,Fort Hamilton Pkwy F subwayG subway,868,97,10487,882,.084104128,.082769141,0
-74.006302,40.632584,83,Fort Hamilton Pkwy N subway,108,10,18841,5663,.30056792,.0057321796,0
-73.957962,40.6707,84,Franklin Av  2 subway 3 subway 4 subway 5 subway/Botanic Garden S subway,12992,2469,18341,3408,.1858132,.70835835,1
-73.956467,40.667259,85,Franklin Av  C subway S subway,16113,3084,20619,4146,.20107667,.78146368,1
-73.974747,40.68737,86,Fulton St  G subway,4389,760,12189,1699,.13938798,.36007875,0
-73.922272,40.689629,87,Gates Av  J subway Z subway,12644,3563,22014,6547,.29740167,.57436174,1
-73.94429,40.714642,88,Graham Av  L subway,453,26,17763,2014,.11338175,.025502449,0
-73.97084,40.675137,89,Grand Army Plaza 2 subway 3 subway,2087,179,12678,747,.058920965,.16461587,0
-73.940689,40.711964,90,Grand St  L subway,1670,774,13560,3280,.24188791,.12315634,0
-73.865356,40.67688,91,Grant Av  A subway,4605,1287,8967,2828,.31537861,.51354969,1
-73.950081,40.70557,92,Greenpoint Av G subway,1463,616,19094,7825,.4098146,.076620929,0
-73.916542,40.68631,93,Halsey St  J subway,13011,3403,21226,6078,.28634694,.61297464,1
-73.905022,40.696007,94,Halsey St  L subway,2981,1079,9864,2937,.2977494,.30221006,0
-73.954323,40.707249,95,Hewes St  J subway M subway,1416,602,21415,8871,.41424236,.066121876,0
-73.991409,40.699429,96,High St  A subway C subway,956,277,12763,2019,.15819165,.074904017,0
-73.985115,40.690525,97,Hoyt St  2 subway 3 subway,2399,684,15165,2145,.14144412,.1581932,0
-73.985313,40.688828,98,Hoyt-Schermerhorn Sts A subway C subway G subway,727,113,7667,565,.073692448,.094821967,0
-73.987259,40.692345,99,Jay St-MetroTech A subway C subway F subway R subway,1939,677,12437,1939,.15590577,.15590577,0
-73.922089,40.70631,100,Jefferson St  L subway,815,225,7358,2074,.28187007,.1107638,0
-73.902451,40.663513,101,Junius St  3 subway,13144,6501,16758,8027,.47899511,.78434181,1
-73.957817,40.608673,102,Kings Hwy  B subway Q subway,114,48,10773,2636,.24468578,.01058201,0
-73.972351,40.603348,103,Kings Hwy  F subway,70,31,15525,2466,.15884058,.0045088567,0
-73.980179,40.603943,104,Kings Hwy  N subway ,281,0,20619,3779,.18327756,.013628207,0
-73.942444,40.669289,105,Kingston Av  3 subway,7504,1514,16337,3492,.21374793,.45932546,0
-73.940857,40.67992,106,Kingston-Throop Avs C subway,16176,3832,20610,4809,.23333333,.78486174,1
-73.919708,40.698666,107,Knickerbocker Av M subway,5369,969,23516,6483,.27568465,.22831264,0
-73.928818,40.69334,108,Kosciuszko St  J subway,8485,2363,15665,4789,.30571339,.54165339,1
-73.972778,40.685833,109,Lafayette Av  C subway ,3894,660,9018,1174,.13018407,.43180305,0
-73.896545,40.674541,110,Liberty Av  C subway,4244,1519,8076,3230,.39995047,.52550769,1
-73.900574,40.66404,111,Livonia Av  L subway,14154,6190,17003,7651,.44997942,.83244133,1
-73.948143,40.704334,112,Lorimer St  J subway M subway,3205,1356,21756,7502,.3448244,.14731568,0
-73.949303,40.714195,113,Lorimer St  L subway/Metropolitan Av G subway,398,85,13007,1588,.1220881,.030598909,0
-73.957909,40.708557,114,Marcy Av  J subway M subway Z subway,1542,483,23711,9182,.38724643,.065033108,0
-73.93985,40.707737,115,Montrose Av  L subway,2743,1309,14934,4453,.29817864,.18367484,0
-73.933708,40.706078,116,Morgan Av  L subway,798,477,5146,1528,.29692966,.1550719,0
-73.9356,40.697006,117,Myrtle Av  J subway M subway Z subway,10314,3469,22705,7294,.32125083,.45426118,0
-73.948982,40.695492,118,Myrtle-Willoughby Avs G subway,10576,3595,21083,7976,.37831429,.50163639,1
-73.911484,40.699642,119,Myrtle-Wyckoff Avs L subway M subway,4935,1233,19170,5426,.28304642,.2574335,0
